Number,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
155,-0.0134656489,0.0020916031,0.0001603053,-0.0017532959,0.0038216553,0.9976699219
156,0.0018015267,0.0326259542,0.0154274809,0.0021529541,0.013098999,0.998890625
157,-0.0058320611,-0.0055419847,0.0077938931,0.0038619385,-0.0010611572,0.9976699219
158,0.0018015267,-0.0055419847,-0.0074732824,0.0006881104,-8.45947265625015E-05,1.0040175781
159,0.0323358779,0.0020916031,0.0154274809,0.0055709229,-0.002526001,1.00084375
160,-0.0210992366,-0.0131755725,-0.0151068702,0.0004439697,0.0194466553,1.0032851563
161,0.0094351145,-0.0208091603,0.0154274809,-0.0017532959,0.0016243896,1.0189101563
162,0.0018015267,0.0097251908,0.0001603053,0.0053267822,0.0004036865,0.9998671875
163,0.0094351145,0.0097251908,0.0154274809,0.0158248291,-0.004479126,1.0052382813
164,0.0094351145,-0.0055419847,0.0001603053,-4.43115234371461E-05,-0.0015494385,0.9986464844
165,-0.0058320611,0.0020916031,0.0077938931,-0.0017532959,0.0004036865,0.9969375
166,0.0018015267,0.0097251908,0.0001603053,-0.0017532959,-0.002526001,0.9996230469
167,0.0170687023,0.0020916031,-0.0074732824,0.0143599854,-0.0037467041,1.0037734375
168,0.0018015267,-0.0208091603,0.0001603053,0.0023970947,-0.002526001,0.9952285156
169,-0.0134656489,0.0020916031,0.0001603053,-0.0044388428,-0.0098502197,0.9944960938
170,-0.0134656489,0.0020916031,-0.0151068702,-0.0046829834,0.0023568115,1.0059707031
171,-0.0058320611,0.0020916031,0.0077938931,-0.0022415771,0.0043099365,0.998890625
172,0.0094351145,-0.0055419847,0.0077938931,0.0045943604,0.0011361084,0.9981582031
173,0.0094351145,0.0097251908,0.0077938931,0.0155806885,0.0011361084,1.0037734375
174,0.0018015267,0.0020916031,0.0001603053,-0.0051712646,0.0006478271,1.0198867188
175,0.0018015267,-0.0055419847,0.0001603053,-0.0022415771,-0.0047232666,1.0076796875
176,0.0018015267,0.0173587786,0.0001603053,0.0172896729,-0.0042349854,1.0032851563
